Order_ID,Order_Date,Month,Month_Num,City,Customer_Segment,Cuisine_Type,Order_Value,Discount_Pct,Discount_Amount,Revenue,Delivery_Cost,Ops_Cost,Total_Cost,Profit,Profit_Margin_Pct,Delivery_Time_Mins,Customer_Rating,Is_Repeat_Customer,Has_Online_Delivery,Restaurant_Type
ORD10000,2023-05-06,May,5,Pune,Budget,Pizza,280.0,19.3,54.0,226.0,58.0,50.0,162.0,118.0,52.2,49.0,4.2,0,Yes,Pizza
ORD10001,2023-10-30,October,10,Hyderabad,Premium,South Indian,765.0,29.8,228.0,537.0,53.0,138.0,419.0,346.0,64.4,59.0,3.7,1,Yes,South Indian
ORD10002,2023-10-15,October,10,Mumbai,Regular,North Indian,403.0,26.5,107.0,296.0,86.0,73.0,266.0,137.0,46.3,40.0,3.5,0,Yes,North Indian
ORD10003,2023-01-04,January,1,Bangalore,Budget,Pizza,265.0,21.4,57.0,208.0,40.0,48.0,145.0,120.0,57.7,27.0,3.7,1,Yes,Pizza
ORD10004,2023-06-22,June,6,Bangalore,Budget,Fast Food,189.0,19.0,36.0,153.0,74.0,34.0,144.0,45.0,29.4,35.0,3.2,0,Yes,Fast Food
ORD10005,2023-01-23,January,1,Delhi,Budget,Pizza,338.0,20.9,71.0,267.0,69.0,61.0,201.0,137.0,51.3,45.0,3.1,0,Yes,Pizza
ORD10006,2023-11-18,November,11,Surat,Budget,Pizza,217.0,34.3,74.0,143.0,44.0,39.0,157.0,60.0,42.0,30.0,4.0,0,Yes,Pizza
ORD10007,2023-12-05,December,12,Pune,Regular,North Indian,390.0,29.9,117.0,273.0,56.0,70.0,243.0,147.0,53.8,37.0,4.5,1,Yes,North Indian
ORD10008,2023-07-14,July,7,Mumbai,Budget,South Indian,249.0,23.2,58.0,191.0,62.0,45.0,165.0,84.0,44.0,53.0,3.0,0,Yes,South Indian
ORD10009,2023-12-10,December,12,Delhi,Budget,Fast Food,263.0,30.5,80.0,183.0,43.0,47.0,170.0,93.0,50.8,31.0,3.9,0,Yes,Fast Food
ORD10010,2023-10-01,October,10,Pune,Regular,Chinese,524.0,34.4,180.0,344.0,63.0,94.0,337.0,187.0,54.4,42.0,3.6,1,Yes,Chinese
ORD10011,2023-12-17,December,12,Delhi,Premium,Fast Food,578.0,31.4,181.0,397.0,61.0,104.0,346.0,232.0,58.4,39.0,4.2,0,Yes,Fast Food
ORD10012,2023-07-25,July,7,Mumbai,Premium,Biryani,852.0,23.0,196.0,656.0,52.0,153.0,401.0,451.0,68.8,48.0,3.5,1,Yes,Biryani
ORD10013,2023-04-19,April,4,Jaipur,Premium,Biryani,698.0,24.3,170.0,528.0,54.0,126.0,350.0,348.0,65.9,52.0,3.9,1,Yes,Biryani
ORD10014,2023-03-13,March,3,Ahmedabad,Regular,Pizza,366.0,16.7,61.0,305.0,43.0,66.0,170.0,196.0,64.3,45.0,4.0,0,Yes,Pizza
